timestamp,hr_bpm_cleaned,smooth_ema,sender_ms,latency_ms_ema,throughput_Bps,rtt_ms_ema,Huwaei HR 
2025-12-11T15:47:25,120,80,2122035,0,0,7.052,80
2025-12-11T15:47:54,120,80,2151086,2.398,2.41,11.124,80
2025-12-11T15:48:02,198,99.5,2158986,1.923,8.87,10.293,81
2025-12-11T15:48:10,112,92.6,2166933,1.538,6.63,11.596,80
2025-12-11T15:48:18,147,96.2,2174833,3.682,5.9,9.175,83
2025-12-11T15:48:26,110,89.7,2182734,2.946,5.9,8.423,82
2025-12-11T15:48:34,128,89.2,2190634,2.357,5.91,10.317,82
2025-12-11T15:49:08,169,99.2,2225083,1.885,0,12.027,83
2025-12-11T15:49:16,128,96.4,2232984,3.335,8.85,9.808,81
2025-12-11T15:49:24,133,95.5,2240937,2.668,6.62,9.524,81
2025-12-11T15:49:32,198,111.2,2248837,2.135,5.89,10.155,82
2025-12-11T15:49:40,147,110.1,2256787,2.065,5.88,11.603,81
2025-12-11T15:49:48,174,116.1,2264637,1.652,5.91,10.897,82
2025-12-11T15:49:56,128,109.1,2272538,1.322,5.91,10.121,80
2025-12-11T15:50:04,147,108.5,2280485,1.057,5.91,9.926,81
2025-12-11T15:50:19,169,113.7,2295336,0.846,4.61,12.48,82
2025-12-11T15:50:26,108,102.2,2303238,0.677,4.61,9.905,80
2025-12-11T15:50:47,68,83.7,2323586,0.541,3.68,9.533,80
2025-12-11T15:50:55,75,71.5,2331537,1.434,3.64,10.424,81
2025-12-11T15:51:11,155,82.4,2347338,1.147,4.34,11.067,82
2025-12-11T15:51:19,151,89.5,2355290,0.918,4.38,13.422,83
2025-12-11T15:51:34,108,84.2,2371136,0.837,4.41,23.763,82
2025-12-11T15:51:42,169,95.4,2378987,0.697,4.43,15.007,83
2025-12-11T15:51:50,164,102.5,2386887,0.558,6.67,17.623,83
2025-12-11T15:52:11,122,97.4,2408137,0.961,3.6,13.683,82
2025-12-11T15:52:19,180,108,2416039,4.554,3.6,11.47,82
